Código e descrição do alimento ,,Código e descrição da preparação,,Energia (kcal),"Proteína (g)","Lipídios totais (g)","Carboidrato (g)",Fibra alimentar total (g)
8570104,Prato de comida do sudeste,99,Não se aplica,131.09,8.62,5.30,12.00,1.86
8570105,Prato de comida do sul,99,Não se aplica,148.37,6.74,3.86,21.34,2.31
8570106,Prato de comida do centro-oeste,99,Não se aplica,105.93,5.68,2.91,14.27,2.22
8570107,Arroz com feijão,99,Não se aplica,116.51,4.17,1.50,21.42,2.66
8570328,Pão com manteiga,99,Não se aplica,369.50,6.81,16.10,48.84,1.92
8570329,Pão com margarina,99,Não se aplica,369.83,6.82,16.00,48.98,1.92
8570330,Pão com ovo,99,Não se aplica,261.30,10.84,10.38,29.91,1.15
8571110,"Carne com batata, inhame, batata-baroa ou aipim ",99,Não se aplica,188.20,12.97,10.50,10.01,1.02
8571111,"Carne com legumes (exceto batata, inhame e aipim)",99,Não se aplica,150.52,12.47,9.95,2.45,0.55
8571112,"Frango com batata, inhame batata-baroa ou aipim",99,Não se aplica,153.70,16.31,5.04,10.01,1.02
8571113,"Frango com legumes (exceto batata, inhame e aipim)",99,Não se aplica,116.02,15.82,4.50,2.45,0.55
8578404,Abobora com quiabo,99,Não se aplica,21.00,1.30,0.14,4.71,1.80
8579002,Arroz carreteiro,99,Não se aplica,154.00,10.80,7.10,11.60,1.50
8579003,Maria izabel,99,Não se aplica,154.00,10.80,7.10,11.60,1.50
8579004,Arroz de leite,99,Não se aplica,142.42,2.98,4.17,22.62,0.30
8579005,Arroz com mandioca,99,Não se aplica,130.31,1.55,0.75,28.94,1.57
8579006,Arroz com ovo,99,Não se aplica,179.11,8.09,9.43,14.50,0.77
8800109,Palma ,99,Não se aplica,41.95,1.35,3.10,3.28,2.00
